Id,State,black,green,arrow,red,yellow,right
black_1,['black'],1,0,0,0,0,0
black_4,['black'],1,0,0,0,0,0
black_5,['black'],1,0,0,0,0,0
black_8,['black'],1,0,0,0,0,0
black_9,['black'],1,0,0,0,0,0
black_11,['black'],1,0,0,0,0,0
black_12,['black'],1,0,0,0,0,0
black_15,['black'],1,0,0,0,0,0
black_16,['black'],1,0,0,0,0,0
black_17,['black'],1,0,0,0,0,0
black_18,['black'],1,0,0,0,0,0
black_19,['black'],1,0,0,0,0,0
black_20,['black'],1,0,0,0,0,0
black_21,['black'],1,0,0,0,0,0
black_22,['black'],1,0,0,0,0,0
black_24,['black'],1,0,0,0,0,0
black_25,['black'],1,0,0,0,0,0
black_28,['black'],1,0,0,0,0,0
black_29,['black'],1,0,0,0,0,0
black_31,['black'],1,0,0,0,0,0
black_33,['black'],1,0,0,0,0,0
black_34,['black'],1,0,0,0,0,0
black_37,['black'],1,0,0,0,0,0
black_39,['black'],1,0,0,0,0,0
black_40,['black'],1,0,0,0,0,0
black_41,['black'],1,0,0,0,0,0
black_42,['black'],1,0,0,0,0,0
black_44,['black'],1,0,0,0,0,0
black_45,['black'],1,0,0,0,0,0
black_47,['black'],1,0,0,0,0,0
black_48,['black'],1,0,0,0,0,0
black_49,['black'],1,0,0,0,0,0
black_51,['black'],1,0,0,0,0,0
black_52,['black'],1,0,0,0,0,0
black_55,['black'],1,0,0,0,0,0
black_56,['black'],1,0,0,0,0,0
black_57,['black'],1,0,0,0,0,0
black_58,['black'],1,0,0,0,0,0
black_59,['black'],1,0,0,0,0,0
black_62,['black'],1,0,0,0,0,0
black_66,['black'],1,0,0,0,0,0
black_68,['black'],1,0,0,0,0,0
black_70,['black'],1,0,0,0,0,0
black_71,['black'],1,0,0,0,0,0
black_72,['black'],1,0,0,0,0,0
black_74,['black'],1,0,0,0,0,0
black_75,['black'],1,0,0,0,0,0
black_77,['black'],1,0,0,0,0,0
black_79,['black'],1,0,0,0,0,0
black_80,['black'],1,0,0,0,0,0
black_83,['black'],1,0,0,0,0,0
black_90,['black'],1,0,0,0,0,0
black_91,['black'],1,0,0,0,0,0
black_95,['black'],1,0,0,0,0,0
black_97,['black'],1,0,0,0,0,0
black_101,['black'],1,0,0,0,0,0
black_103,['black'],1,0,0,0,0,0
black_105,['black'],1,0,0,0,0,0
black_106,['black'],1,0,0,0,0,0
black_109,['black'],1,0,0,0,0,0
black_110,['black'],1,0,0,0,0,0
black_111,['black'],1,0,0,0,0,0
black_113,['black'],1,0,0,0,0,0
black_114,['black'],1,0,0,0,0,0
black_115,['black'],1,0,0,0,0,0
black_116,['black'],1,0,0,0,0,0
black_117,['black'],1,0,0,0,0,0
black_119,['black'],1,0,0,0,0,0
black_120,['black'],1,0,0,0,0,0
black_121,['black'],1,0,0,0,0,0
black_122,['black'],1,0,0,0,0,0
black_124,['black'],1,0,0,0,0,0
black_127,['black'],1,0,0,0,0,0
black_128,['black'],1,0,0,0,0,0
black_133,['black'],1,0,0,0,0,0
black_135,['black'],1,0,0,0,0,0
black_136,['black'],1,0,0,0,0,0
black_137,['black'],1,0,0,0,0,0
black_139,['black'],1,0,0,0,0,0
black_140,['black'],1,0,0,0,0,0
black_141,['black'],1,0,0,0,0,0
black_142,['black'],1,0,0,0,0,0
black_147,['black'],1,0,0,0,0,0
black_150,['black'],1,0,0,0,0,0
black_152,['black'],1,0,0,0,0,0
black_154,['black'],1,0,0,0,0,0
black_155,['black'],1,0,0,0,0,0
black_156,['black'],1,0,0,0,0,0
black_157,['black'],1,0,0,0,0,0
black_159,['black'],1,0,0,0,0,0
black_160,['black'],1,0,0,0,0,0
black_162,['black'],1,0,0,0,0,0
black_163,['black'],1,0,0,0,0,0
black_164,['black'],1,0,0,0,0,0
black_165,['black'],1,0,0,0,0,0
black_168,['black'],1,0,0,0,0,0
black_169,['black'],1,0,0,0,0,0
black_171,['black'],1,0,0,0,0,0
black_174,['black'],1,0,0,0,0,0
black_176,['black'],1,0,0,0,0,0
black_178,['black'],1,0,0,0,0,0
black_179,['black'],1,0,0,0,0,0
black_182,['black'],1,0,0,0,0,0
black_183,['black'],1,0,0,0,0,0
black_184,['black'],1,0,0,0,0,0
black_187,['black'],1,0,0,0,0,0
black_191,['black'],1,0,0,0,0,0
black_193,['black'],1,0,0,0,0,0
black_194,['black'],1,0,0,0,0,0
black_196,['black'],1,0,0,0,0,0
black_199,['black'],1,0,0,0,0,0
black_203,['black'],1,0,0,0,0,0
black_205,['black'],1,0,0,0,0,0
black_207,['black'],1,0,0,0,0,0
black_208,['black'],1,0,0,0,0,0
black_209,['black'],1,0,0,0,0,0
black_210,['black'],1,0,0,0,0,0
black_211,['black'],1,0,0,0,0,0
black_212,['black'],1,0,0,0,0,0
black_219,['black'],1,0,0,0,0,0
black_220,['black'],1,0,0,0,0,0
black_222,['black'],1,0,0,0,0,0
black_223,['black'],1,0,0,0,0,0
black_225,['black'],1,0,0,0,0,0
black_226,['black'],1,0,0,0,0,0
black_227,['black'],1,0,0,0,0,0
black_229,['black'],1,0,0,0,0,0
black_230,['black'],1,0,0,0,0,0
black_231,['black'],1,0,0,0,0,0
black_232,['black'],1,0,0,0,0,0
black_233,['black'],1,0,0,0,0,0
black_234,['black'],1,0,0,0,0,0
black_235,['black'],1,0,0,0,0,0
black_236,['black'],1,0,0,0,0,0
black_237,['black'],1,0,0,0,0,0
black_239,['black'],1,0,0,0,0,0
black_240,['black'],1,0,0,0,0,0
black_241,['black'],1,0,0,0,0,0
black_242,['black'],1,0,0,0,0,0
black_248,['black'],1,0,0,0,0,0
black_249,['black'],1,0,0,0,0,0
black_250,['black'],1,0,0,0,0,0
black_251,['black'],1,0,0,0,0,0
black_253,['black'],1,0,0,0,0,0
black_255,['black'],1,0,0,0,0,0
black_256,['black'],1,0,0,0,0,0
black_259,['black'],1,0,0,0,0,0
black_261,['black'],1,0,0,0,0,0
black_262,['black'],1,0,0,0,0,0
black_263,['black'],1,0,0,0,0,0
black_264,['black'],1,0,0,0,0,0
black_266,['black'],1,0,0,0,0,0
black_267,['black'],1,0,0,0,0,0
black_272,['black'],1,0,0,0,0,0
black_275,['black'],1,0,0,0,0,0
black_278,['black'],1,0,0,0,0,0
black_279,['black'],1,0,0,0,0,0
black_280,['black'],1,0,0,0,0,0
black_281,['black'],1,0,0,0,0,0
black_283,['black'],1,0,0,0,0,0
black_286,['black'],1,0,0,0,0,0
black_288,['black'],1,0,0,0,0,0
black_290,['black'],1,0,0,0,0,0
black_295,['black'],1,0,0,0,0,0
black_296,['black'],1,0,0,0,0,0
black_297,['black'],1,0,0,0,0,0
black_298,['black'],1,0,0,0,0,0
black_299,['black'],1,0,0,0,0,0
black_300,['black'],1,0,0,0,0,0
black_302,['black'],1,0,0,0,0,0
black_303,['black'],1,0,0,0,0,0
black_304,['black'],1,0,0,0,0,0
black_305,['black'],1,0,0,0,0,0
black_306,['black'],1,0,0,0,0,0
black_308,['black'],1,0,0,0,0,0
black_309,['black'],1,0,0,0,0,0
black_310,['black'],1,0,0,0,0,0
black_315,['black'],1,0,0,0,0,0
black_316,['black'],1,0,0,0,0,0
black_317,['black'],1,0,0,0,0,0
black_319,['black'],1,0,0,0,0,0
black_322,['black'],1,0,0,0,0,0
black_326,['black'],1,0,0,0,0,0
black_327,['black'],1,0,0,0,0,0
black_328,['black'],1,0,0,0,0,0
black_329,['black'],1,0,0,0,0,0
black_330,['black'],1,0,0,0,0,0
black_331,['black'],1,0,0,0,0,0
black_333,['black'],1,0,0,0,0,0
black_334,['black'],1,0,0,0,0,0
black_337,['black'],1,0,0,0,0,0
black_339,['black'],1,0,0,0,0,0
black_342,['black'],1,0,0,0,0,0
black_344,['black'],1,0,0,0,0,0
black_345,['black'],1,0,0,0,0,0
black_346,['black'],1,0,0,0,0,0
black_347,['black'],1,0,0,0,0,0
black_350,['black'],1,0,0,0,0,0
black_352,['black'],1,0,0,0,0,0
black_353,['black'],1,0,0,0,0,0
black_355,['black'],1,0,0,0,0,0
black_356,['black'],1,0,0,0,0,0
black_357,['black'],1,0,0,0,0,0
black_358,['black'],1,0,0,0,0,0
black_359,['black'],1,0,0,0,0,0
black_360,['black'],1,0,0,0,0,0
black_362,['black'],1,0,0,0,0,0
black_363,['black'],1,0,0,0,0,0
black_365,['black'],1,0,0,0,0,0
black_369,['black'],1,0,0,0,0,0
black_370,['black'],1,0,0,0,0,0
black_371,['black'],1,0,0,0,0,0
black_373,['black'],1,0,0,0,0,0
black_376,['black'],1,0,0,0,0,0
black_383,['black'],1,0,0,0,0,0
black_384,['black'],1,0,0,0,0,0
black_385,['black'],1,0,0,0,0,0
black_387,['black'],1,0,0,0,0,0
black_388,['black'],1,0,0,0,0,0
black_390,['black'],1,0,0,0,0,0
black_392,['black'],1,0,0,0,0,0
black_393,['black'],1,0,0,0,0,0
black_394,['black'],1,0,0,0,0,0
black_395,['black'],1,0,0,0,0,0
black_397,['black'],1,0,0,0,0,0
black_403,['black'],1,0,0,0,0,0
black_404,['black'],1,0,0,0,0,0
black_405,['black'],1,0,0,0,0,0
black_406,['black'],1,0,0,0,0,0
black_407,['black'],1,0,0,0,0,0
black_408,['black'],1,0,0,0,0,0
black_409,['black'],1,0,0,0,0,0
black_411,['black'],1,0,0,0,0,0
black_414,['black'],1,0,0,0,0,0
black_415,['black'],1,0,0,0,0,0
black_416,['black'],1,0,0,0,0,0
black_417,['black'],1,0,0,0,0,0
black_418,['black'],1,0,0,0,0,0
black_419,['black'],1,0,0,0,0,0
black_423,['black'],1,0,0,0,0,0
black_424,['black'],1,0,0,0,0,0
black_425,['black'],1,0,0,0,0,0
black_427,['black'],1,0,0,0,0,0
black_429,['black'],1,0,0,0,0,0
black_430,['black'],1,0,0,0,0,0
black_433,['black'],1,0,0,0,0,0
black_434,['black'],1,0,0,0,0,0
black_435,['black'],1,0,0,0,0,0
black_438,['black'],1,0,0,0,0,0
black_439,['black'],1,0,0,0,0,0
black_441,['black'],1,0,0,0,0,0
black_442,['black'],1,0,0,0,0,0
black_443,['black'],1,0,0,0,0,0
black_445,['black'],1,0,0,0,0,0
black_447,['black'],1,0,0,0,0,0
black_449,['black'],1,0,0,0,0,0
black_453,['black'],1,0,0,0,0,0
black_454,['black'],1,0,0,0,0,0
black_455,['black'],1,0,0,0,0,0
black_456,['black'],1,0,0,0,0,0
black_457,['black'],1,0,0,0,0,0
black_458,['black'],1,0,0,0,0,0
black_459,['black'],1,0,0,0,0,0
black_461,['black'],1,0,0,0,0,0
black_462,['black'],1,0,0,0,0,0
black_465,['black'],1,0,0,0,0,0
black_466,['black'],1,0,0,0,0,0
black_467,['black'],1,0,0,0,0,0
black_468,['black'],1,0,0,0,0,0
black_470,['black'],1,0,0,0,0,0
black_471,['black'],1,0,0,0,0,0
black_472,['black'],1,0,0,0,0,0
black_474,['black'],1,0,0,0,0,0
black_475,['black'],1,0,0,0,0,0
black_477,['black'],1,0,0,0,0,0
black_479,['black'],1,0,0,0,0,0
black_481,['black'],1,0,0,0,0,0
black_482,['black'],1,0,0,0,0,0
black_483,['black'],1,0,0,0,0,0
black_484,['black'],1,0,0,0,0,0
black_485,['black'],1,0,0,0,0,0
black_487,['black'],1,0,0,0,0,0
black_488,['black'],1,0,0,0,0,0
black_491,['black'],1,0,0,0,0,0
black_492,['black'],1,0,0,0,0,0
black_493,['black'],1,0,0,0,0,0
black_494,['black'],1,0,0,0,0,0
black_495,['black'],1,0,0,0,0,0
black_500,['black'],1,0,0,0,0,0
black_503,['black'],1,0,0,0,0,0
black_504,['black'],1,0,0,0,0,0
black_505,['black'],1,0,0,0,0,0
black_506,['black'],1,0,0,0,0,0
black_507,['black'],1,0,0,0,0,0
black_508,['black'],1,0,0,0,0,0
black_509,['black'],1,0,0,0,0,0
black_510,['black'],1,0,0,0,0,0
black_511,['black'],1,0,0,0,0,0
black_512,['black'],1,0,0,0,0,0
black_514,['black'],1,0,0,0,0,0
black_515,['black'],1,0,0,0,0,0
black_518,['black'],1,0,0,0,0,0
black_520,['black'],1,0,0,0,0,0
black_521,['black'],1,0,0,0,0,0
black_522,['black'],1,0,0,0,0,0
black_523,['black'],1,0,0,0,0,0
black_525,['black'],1,0,0,0,0,0
black_526,['black'],1,0,0,0,0,0
black_527,['black'],1,0,0,0,0,0
black_529,['black'],1,0,0,0,0,0
black_530,['black'],1,0,0,0,0,0
black_531,['black'],1,0,0,0,0,0
black_533,['black'],1,0,0,0,0,0
black_536,['black'],1,0,0,0,0,0
black_537,['black'],1,0,0,0,0,0
black_539,['black'],1,0,0,0,0,0
black_540,['black'],1,0,0,0,0,0
black_541,['black'],1,0,0,0,0,0
black_542,['black'],1,0,0,0,0,0
black_544,['black'],1,0,0,0,0,0
black_545,['black'],1,0,0,0,0,0
black_546,['black'],1,0,0,0,0,0
black_547,['black'],1,0,0,0,0,0
black_549,['black'],1,0,0,0,0,0
black_550,['black'],1,0,0,0,0,0
black_552,['black'],1,0,0,0,0,0
black_555,['black'],1,0,0,0,0,0
black_556,['black'],1,0,0,0,0,0
black_557,['black'],1,0,0,0,0,0
black_558,['black'],1,0,0,0,0,0
black_559,['black'],1,0,0,0,0,0
black_560,['black'],1,0,0,0,0,0
black_562,['black'],1,0,0,0,0,0
black_565,['black'],1,0,0,0,0,0
black_566,['black'],1,0,0,0,0,0
black_567,['black'],1,0,0,0,0,0
black_569,['black'],1,0,0,0,0,0
black_570,['black'],1,0,0,0,0,0
black_572,['black'],1,0,0,0,0,0
black_576,['black'],1,0,0,0,0,0
black_578,['black'],1,0,0,0,0,0
black_580,['black'],1,0,0,0,0,0
black_582,['black'],1,0,0,0,0,0
black_583,['black'],1,0,0,0,0,0
black_584,['black'],1,0,0,0,0,0
black_587,['black'],1,0,0,0,0,0
black_590,['black'],1,0,0,0,0,0
black_592,['black'],1,0,0,0,0,0
black_594,['black'],1,0,0,0,0,0
black_596,['black'],1,0,0,0,0,0
black_597,['black'],1,0,0,0,0,0
black_600,['black'],1,0,0,0,0,0
black_601,['black'],1,0,0,0,0,0
black_602,['black'],1,0,0,0,0,0
black_604,['black'],1,0,0,0,0,0
black_606,['black'],1,0,0,0,0,0
black_607,['black'],1,0,0,0,0,0
black_612,['black'],1,0,0,0,0,0
black_617,['black'],1,0,0,0,0,0
black_621,['black'],1,0,0,0,0,0
black_626,['black'],1,0,0,0,0,0
black_627,['black'],1,0,0,0,0,0
black_630,['black'],1,0,0,0,0,0
black_631,['black'],1,0,0,0,0,0
black_632,['black'],1,0,0,0,0,0
black_633,['black'],1,0,0,0,0,0
black_634,['black'],1,0,0,0,0,0
black_638,['black'],1,0,0,0,0,0
black_640,['black'],1,0,0,0,0,0
black_645,['black'],1,0,0,0,0,0
black_646,['black'],1,0,0,0,0,0
black_647,['black'],1,0,0,0,0,0
black_648,['black'],1,0,0,0,0,0
black_649,['black'],1,0,0,0,0,0
black_650,['black'],1,0,0,0,0,0
black_651,['black'],1,0,0,0,0,0
black_652,['black'],1,0,0,0,0,0
black_653,['black'],1,0,0,0,0,0
black_654,['black'],1,0,0,0,0,0
black_656,['black'],1,0,0,0,0,0
black_660,['black'],1,0,0,0,0,0
black_662,['black'],1,0,0,0,0,0
black_664,['black'],1,0,0,0,0,0
black_665,['black'],1,0,0,0,0,0
